"filename", "language", "Markdown", "Python", "Ignore", "toml", "Ini", "Docker", "YAML", "comment", "blank", "total"
"/workspaces/spacegom-web/.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
"/workspaces/spacegom-web/.pylintrc", "Ini", 0, 0, 0, 0, 477, 0, 0, 0, 181, 658
"/workspaces/spacegom-web/API.md", "Markdown", 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/workspaces/spacegom-web/CONTEXT_ACTUALIZADO.md", "Markdown", 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/workspaces/spacegom-web/DATABASE.md", "Markdown", 138, 0, 0, 0, 0, 0, 0, 0, 30, 168
"/workspaces/spacegom-web/DICE_SYSTEM.md", "Markdown", 225, 0, 0, 0, 0, 0, 0, 0, 59, 284
"/workspaces/spacegom-web/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, -8, -1, -9
"/workspaces/spacegom-web/README.md", "Markdown", 68, 0, 0, 0, 0, 0, 0, 0, 7, 75
"/workspaces/spacegom-web/accion_comercio_de_mercancias.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/workspaces/spacegom-web/app/aws_setup.py", "Python", 0, 55, 0, 0, 0, 0, 0, 52, 7, 114
"/workspaces/spacegom-web/app/clean_local_db.py", "Python", 0, 58, 0, 0, 0, 0, 0, 9, 17, 84
"/workspaces/spacegom-web/app/game_state.py", "Python", 0, 5, 0, 0, 0, 0, 0, 1, 1, 7
"/workspaces/spacegom-web/app/migrate_to_dynamodb.py", "Python", 0, 89, 0, 0, 0, 0, 0, 122, 29, 240
"/workspaces/spacegom-web/app/trade_manager.py", "Python", 0, 22, 0, 0, 0, 0, 0, 2, 7, 31
"/workspaces/spacegom-web/docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, -1, 9, 4, 12
"/workspaces/spacegom-web/docs/README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/workspaces/spacegom-web/docs/aws_setup.md", "Markdown", 198, 0, 0, 0, 0, 0, 0, 0, 66, 264
"/workspaces/spacegom-web/docs/migrate_to_dynamodb.md", "Markdown", 269, 0, 0, 0, 0, 0, 0, 0, 93, 362
"/workspaces/spacegom-web/docs/state_file.md", "Markdown", 210, 0, 0, 0, 0, 0, 0, 0, 46, 256
"/workspaces/spacegom-web/pyproject.toml", "toml", 0, 0, 0, 32, 0, 0, 0, 0, 6, 38
"/workspaces/spacegom-web/review.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/workspaces/spacegom-web/uv.lock", "toml", 0, 0, 0, 685, 0, 0, 0, 0, 45, 730
"Total", "-", 1155, 229, 0, 717, 477, 0, -1, 190, 606, 3373
